COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST
2007,"Coimbatore Institute of Technology
(Autonomous), Civil Aerodrome Post, Coimbatore District 641014",ME,MECHANICAL ENGINEERING,,,188.31,,,,,,
2007,"Coimbatore Institute of Technology
(Autonomous), Civil Aerodrome Post, Coimbatore District 641014",MF,MECHANICAL ENGINEERING (SS),,,,,177.37,,,,
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village,
Salem District 637302",AG,AGRICULTURE ENGINEERING,,,,,149.07,,,,
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village,
Salem District 637302",CS,COMPUTER SCIENCE AND ENGINEERING,155.37,,,,,,,,
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village,
Salem District 637302",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,170.92,,,,,,,
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village,
Salem District 637302",IT,INFORMATION TECHNOLOGY,,149.35,,,,,,,
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village,
Salem District 637302",ME,MECHANICAL ENGINEERING,174.07,,,,,,,,
2314,"Muthayammal College of Engineering, Kakkaveri Post, Namakkal District
637408",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",124.17,,,,,,,,
2327,"N S N College of Engineering and Technology, Karur-Madurai NH7,
Manalmedu, Karur District 639003",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",165.62,137.42,,,,,,,
2327,"N S N College of Engineering and Technology, Karur-Madurai NH7,
Manalmedu, Karur District 639003",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",159.60,,,,,,,,
2328,"K S R Institute for Engineering and Technology, Thokkavadi, Namakkal District
637215",IT,INFORMATION TECHNOLOGY,157.45,,,,,,,,
2328,"K S R Institute for Engineering and
Technology, Thokkavadi, Namakkal District 637215",ME,MECHANICAL ENGINEERING,150.82,,,,,,,,
2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District
641021",AG,AGRICULTURE ENGINEERING,,,,,,,127.85,,
2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District
641021",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,172.89,,,,,,,
2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District
641021",ME,MECHANICAL ENGINEERING,144.65,,,,,,,,
2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District
641110",AG,AGRICULTURE ENGINEERING,,,,,,,168.04,,
2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District
641110",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,159.01,,,,,,,,
2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem District
636111",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,147.65,145.65,,,,,,,
