COLLEGE NAME,BRANCH NAME,MAX CUTOFF
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004","MECHANICAL ENGINEERING
(SANDWICH) (SS)",160.0
R M K College of Engineering and Technology (Autonomous)  Puduvoyal  Gummidipoondi Taluk  Thiruvallur District 601206,COMPUTER SCIENCE AND ENGINEERING,160.0
Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,COMPUTER SCIENCE AND ENGINEERING,160.0
"Government College of Engineering
Tirunelveli District 627007","COMPUTER SCIENCE AND
ENGINEERING",159.5
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi  Sivagangai District 630004,MECHANICAL ENGINEERING,159.5
Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,INFORMATION TECHNOLOGY,159.5
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004",FASHION TECHNOLOGY (SS),159.5
"Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode
District 638316",CIVIL  ENGINEERING,159.5
"Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai
District 625015",MECHANICAL ENGINEERING (SS),159.5
"CARE College of Engineering   Thayanoor Village  Kuttappatti  Srirangam Taluk
Tiruchirappalli District 620009",CIVIL  ENGINEERING,159.0
"M Kumarasamy College of Engineering (Autonomous)  Thalavapalayam  Karur
District 639113",ELECTRICAL AND ELECTRONICS ENGINEERING,159.0
"SNS College of Engineering (Autonomous) Sathy Main Road  Kurumbapalayam Post
Coimbatore District 641107",Computer Science and Technology,159.0
"Theni Kammavar Sangam College of Technology  Theni Main Road  Koduvillarpatti
Post  Theni District 625534",MECHANICAL ENGINEERING,159.0
"Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District
632002",ELECTRICAL AND ELECTRONICS ENGINEERING,159.0
"Dr. Mahalingam College of  Engineering and Technology (Autonomous) Mackinaickenpatti Post  Pollachi Taluk
Coimbatore District 642003",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,159.0
"Meenakshi College of Engineering
Vembuliamman Koil Street  K K Nagar (West) Chennai 600078",COMPUTER SCIENCE AND ENGINEERING,158.5
"Kongu Engineering College (Autonomous)
Perundurai  Erode District 638052",INFORMATION TECHNOLOGY,158.5
"Sri Krishna College of Technology (Autonomous)   Kovaipudur Post  Coimbatore
District 641042",COMPUTER SCIENCE AND ENGINEERING,158.5
"Government College of Engineering
Chettikkarai Post  Dharmapuri District 635704","ELECTRONICS AND
COMMUNICATION ENGINEERING",158.5
