COLLEGE CODE,COLLEGE NAME,BRANCH CODE,RANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
1510,"Priyadarshini Engineering College Vaniyambadi Post  Thiruppattur District
635751",CS,COMPUTER SCIENCE AND ENGINEERING,156.5,,,,,,
1510,"Priyadarshini Engineering College Vaniyambadi Post  Thiruppattur District
635751",IT,INFORMATION TECHNOLOGY,,,,136.5,,,
1510,"Priyadarshini Engineering College Vaniyambadi Post  Thiruppattur District
635751",ME,MECHANICAL ENGINEERING,,,,,129,,
1516,"Thanthai Periyar Government Institute of
Technology  Bagayam  Vellore District 632002",CE,CIVIL  ENGINEERING,,,,,139.5,,
1516,"Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District
632002",CS,COMPUTER SCIENCE AND ENGINEERING,,,,155.5,,,
1516,"Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District
632002",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",152.5,147.5,,,,,
1516,"Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District
632002",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,159,,,,,,
1516,"Thanthai Periyar Government Institute of
Technology  Bagayam  Vellore District 632002",ME,MECHANICAL ENGINEERING,,152,,147,,,
1518,"Thiruvalluvar College of Engineering and
Technology  Vandavasi  Thiruvannamalai District 604505",CS,COMPUTER SCIENCE AND ENGINEERING,145.5,,,,,,
1518,"Thiruvalluvar College of Engineering and
Technology  Vandavasi  Thiruvannamalai District 604505",ME,MECHANICAL ENGINEERING,,,,117,,,
1519,"Bharathidasan Engineering College Nattrampalli Post  Thiruppathur District
635854",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,141,,,
1519,"Bharathidasan Engineering College Nattrampalli Post  Thiruppathur District
635854",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,138.5,,,,,,
1519,"Bharathidasan Engineering College Nattrampalli Post  Thiruppathur District
635854",IT,INFORMATION TECHNOLOGY,,,,,106.5,,
1519,"Bharathidasan Engineering College
Nattrampalli Post  Thiruppathur District 635854",ME,MECHANICAL ENGINEERING,131.5,,,,,,
1523,"Global Institute of Engineering and Technology  Bangalore-Chennai Highway Melvisharam  Walajah Taluk  Ranipet District
632506",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,,,107,,,
1525,"Podhigai College of Engineering and Technology  Vinayakapuram  Adiyur Post
Tirupattur District 635601",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,153.5,,,,,,
1526,"Sri Krishna College of Engineering  Tiruttani High Road  Arakkonam  Ranipet District
631003",ME,MECHANICAL ENGINEERING,,,,152.5,,,
1529,"Oxford College of Engineering  Venmani
Village  Karaipoondi Post  Polur Taluk Thiruvannamalai District 606803",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,132.83,,,
2,"University Departments of Anna University
Chennai - ACT Campus  Sardar Patel Road Guindy  Chennai 600 025",CH,CHEMICAL  ENGINEERING,,,,141.5,,,
2,"University Departments of Anna University
Chennai - ACT Campus  Sardar Patel Road Guindy  Chennai 600 025",CL,CHEMICAL  ENGINEERING (SS),,145,,,,,
