COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
4929,"M E T Engineering College, Mogals Garden, Thovalai Village, Aralvaimozhi Town Panchayat, Thovalai, Kanyakumari District 629304",CS,Computer Science and Engineering,112,,,,,,
4929,"M E T Engineering College, Mogals Garden, Thovalai Village, Aralvaimozhi Town Panchayat, Thovalai, Kanyakumari District 629304",EE,Electrical and Electronics Engineering,,119.5,,,,,
4929,"M E T Engineering College, Mogals Garden, Thovalai Village, Aralvaimozhi Town Panchayat, Thovalai, Kanyakumari District 629304",ME,Mechanical Engineering,124,,,,,,
4931,"Grace College of Engineering, Chandy Nagar, Mullakkadu, Thoothukudi District 628005",EE,Electrical and Electronics Engineering,118,,,,,,
4931,"Grace College of Engineering, Chandy Nagar, Mullakkadu, Thoothukudi District 628005",ME,Mechanical Engineering,132,,,,,,
4933,"St. Mother Theresa Engineering College, Vagaikulam, Thoothukudi District 628102",CE,Civil Engineering,113,,,,,,
4933,"St. Mother Theresa Engineering College, Vagaikulam, Thoothukudi District 628102",EE,Electrical and Electronics Engineering,,110,,,,,
4933,"St. Mother Theresa Engineering College, Vagaikulam, Thoothukudi District 628102",ME,Mechanical Engineering,,,,,123,,
4934,"Holy Cross Engineering College, Vagaikulam, Sri Mulakarai, Srivaikuntam,  Thoothukudi District
628851",ME,Mechanical Engineering,,,,,119,,
4941,"Unnamalai Institute of Technology, Ayyaneri, Kovilpatti, Thoothukudi District 628502",EE,Electrical and Electronics Engineering,139.5,,,,,,
4946,"D M I Engineering College, Aralvaimozhi Village, Thovalai, Kanyakumari District 629301",ME,Mechanical Engineering,119,,,,,,
4948,"Rajas Institute of Technology , Ozhuginasery, Nagercoil, Kanyakumari District 629001",EC,Electronics and Communication Engineering,,131,,,,,
4949,"P S N Institute of Technology & Science, Melathediyoor, Tirunelveli District 627152",CS,Computer Science and Engineering,119.5,102,,,,,
4949,"P S N Institute of Technology & Science, Melathediyoor, Tirunelveli District 627152",ME,Mechanical Engineering,,,,,108,,
4949,"P S N Institute of Technology & Science, Melathediyoor, Tirunelveli District 627152",MU,Mechanical  and Automation Engineering,,,,,105,,
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114",CE,Civil Engineering,,149.5,,,,,
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114",CS,Computer Science and Engineering,116.5,,,,,,
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114",EC,Electronics and Communication Engineering,121,,,,,,
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114",EE,Electrical and Electronics Engineering,,,,,116,,
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114",ME,Mechanical Engineering,135.5,120.5,,,,,
4954,"Dr. Sivanthi Aditanar College of Engineering, Tiruchendur, Thoothukudi District 628215",CS,Computer Science and Engineering,119,,,,,,
4954,"Dr. Sivanthi Aditanar College of Engineering, Tiruchendur, Thoothukudi District 628215",EE,Electrical and Electronics Engineering,,125,,,,,
4955,"Francis Xavier Engineering College
(Autonomous), Vannarpettai, Tirunelveli District 627003",CS,Computer Science and Engineering,113.5,,,,,,
4955,"Francis Xavier Engineering College (Autonomous), Vannarpettai, Tirunelveli District
627003",EE,Electrical and Electronics Engineering,132.5,,,,,,
4955,"Francis Xavier Engineering College (Autonomous), Vannarpettai, Tirunelveli District
627003",IT,Information Technology,,126.5,,,,,
